Dataset Title,Date,Producer,Abstract,How to Cite This,Keywords,Access URL
"Russian Village Household Panel Surveys, 1995-1997",1995,"Patsiorkovski, Valeri V.","The purpose of this three-wave panel study was to examinethe relationship between existing social networks within several ruralRussian communities and the ability of individuals within thosecommunities to cope with and adapt to the numerous economic and socialchanges brought about by the collapse of the Soviet-era economy, asmeasured by individual gains in material resources, subjective qualityof life, and mental health. The study focused on the ways in which anindividual's social relationships enhance or hinder opportunities in anewly competitive economic environment. For the study, small businessowners, including local farmers, were asked a series of questionsabout their businesses, including the source of their ""start-up""capital, the identity of partners, if any, size of land holdings,credit arrangements, ownership of livestock, machinery,transportation, and consumer goods, and use of ""contemporary inputs,""i.e., modern farm methods, types of crops, crop yields, andprospective levels of production. Respondents were asked about changesin social services, including medical services, the quality of life inthe village, including relations with others, attendance at localfestivals, satisfaction with job, income, health, family, marriage,and village life, and the situation in the country atlarge. Respondents were also asked to provide self-evaluations oftheir emotional and psychological well-being, to identify any recentimportant or traumatic event, and to note any recent signs ofdepression. Other areas of inquiry included religious affiliation andpractice, sources of news and information, past political repressionof family members, and where respondents bought consumergoods. Finally, respondents were questioned in detail regarding theirexisting social relationships, including from whom they would borrowmoney, with whom they traded goods and services, to whom they wouldentrust the care and safety of their household, and whom they wouldask to help with the harvest and with household tasks. Demographicvariables include age, gender, marital status, nationality, education,occupation, household composition, household income, and familialhistory within the local community.","O'Brien, David J., and Valeri V. Patsiorkovski. Russian Village Household Panel Surveys, 1995-1997. ICPSR02816-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 1999. http://doi.org/10.3886/ICPSR02816.v1",adaptation; economic change; economic conditions; health care services; households; mental health; psychological wellbeing; quality of life; rural areas; social change; social networks; social services,https://odesi.ca/#/details?uri=/icpsr/02816.xml
"Canadian Gallup Poll, September 1961, #291",1961,Gallup Canada,"This Gallup poll aims to collect the opinions of Canadians, mostly on issues of global or international importance. Issues such as nuclear war, the spread of communism, and international politics are raised. Also asked were questions of local (Canadian) significance, including awareness and opinions of the New Democratic Party. The respondents were also asked questions so that they could be grouped according to geographic, demographic and social variables. Topics of interest include: American influence over the Canadian lifestyle; the conflict over Berlin; a career as a police officer for respondents' sons; Canada's dependence on American defence; federal elections; respondents' opinions on what ""free enterprise"" means; whether all labour unions should back up a single political party; who is ahead in terms of missile technology; nuclear weapons for Canadian Armed Forces; Russia; respondents' opinions on what ""socialism"" means; liklihood of survival during a nuclear war; union membership; the United Nations; and voting behaviour. Basic demographics variables are also included.","Gallup Canada, 2019, ""Canadian Gallup Poll, September 1961, #291"", https://doi.org/10.5683/SP2/XR4HZI, Scholars Portal Dataverse, V1, UNF:6:WYKeFDWsqcCggMFMag3bkg== [fileUNF]",social sciences; public opinion poll; canada; american influence over canadian lifestyle; conflict over berlin; career as a police officer for son; canadas dependence on american defence; federal election; free enterprise defined; labour unions showing political support; missile technology; new democratic party; nuclear weapons for canadian armed forces; russia; socialism defined; survival during nuclear war; union membership; united nations; voting behaviour,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP2_XR4HZI.xml
"Survey of Consumer Attitudes and Behavior, June 2006",2006,University of Michigan. Survey Research Center. Economic Behavior Program,The purpose of this survey series is to forecast changes in aggregate consumer behavior.,"University of Michigan. Survey Research Center. Economic Behavior Program. Survey of Consumer Attitudes and Behavior, June 2006. ICPSR35386-v2. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2016-02-16. http://doi.org/10.3886/ICPSR35386.v2",automobile use; automobiles; computer use; consumer attitudes; consumer expectations; consumer expenditures; economic behavior; economic change; economic conditions; economic policy; financial assets; financial planning; gasoline consumption; gasoline prices; government; home ownership; household appliances; household expenditures; household income; housing costs; income; inflation; interest rates; internet; investments; national economy; pensions; personal finances; refinancing; retirement; savings; social security; stock markets; stock prices; unemployment; unemployment rate; vehicles,https://odesi.ca/#/details?uri=/icpsr/35386.xml
"CBS News/New York Times National Poll, October #3, 2012",2012,The New York Times,"This poll, the last of three fielded October 2012, is a part of a continuing series of monthly surveys that solicits public opinion on a range of political and social issues. A number of questions were asked about respondents' voting intentions for and opinions of the 2012 presidential campaign and election, as well as the 2012 election for the United States House of Representatives. Respondents were also asked if they approved of the way Barack Obama was handling the presidency, foreign policy, and the economy, whether the country was headed in the right direction, and if they approved of the way Congress was handling its job. Further questions asked about the condition of the economy, the Bush-era tax cuts, illegal immigration, the best way to reduce the federal budget deficit, their opinion of Obama, Romney, Biden, and Ryan, and the most important issues in deciding how to vote in the presidential election. Additional topics included respondents' views on Obama's economic policies, the recent attack on the American consulate in Libya and the killing of the United States ambassador, abortion, the health care law, Medicare, withdrawal of troops from Afghanistan, and Iran. Finally, respondents were asked about their main source of political news and information, whether they were a supporter of the Tea Party movement, and how much attention they had been able to pay to the 2012 presidential campaign. Demographic information includes sex, age, race, social class, marital status, household composition, education level, household income, employment status, religious preference, type of residential area (e.g., urban or rural), political party affiliation, political philosophy, voting history, voter registration status, and whether respondents thought of themselves as born-again Christians.","CBS News, and The New York Times. CBS News/New York Times National Poll, October #3, 2012. ICPSR34654-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2013-07-10. http://doi.org/10.3886/ICPSR34654.v1",abortion; afghanistan war; biden joe; bush george w; campaign issues; cellular phones; economic conditions; economic policy; embassies; federal budget deficit; foreign policy; health care; illegal immigrants; job performance; leadership; medicare; middle class; national economy; national elections; national security; obama barack; political ideologies; presidency; presidential campaigns; presidential candidates; presidential debates; presidential elections; presidential performance; public opinion; romney mitt; tax cuts; terrorism; unemployment; united states congress; united states house of representatives; united states supreme court; voters; voting behavior; womens rights,https://odesi.ca/#/details?uri=/icpsr/34654.xml
"Canadian Gallup Poll, March 1963, #301",1963,Gallup Canada,"This Gallup poll seeks the opinions of Canadians on predominantly political issues, prior to an election. The questions aim to gather views on political leaders and parties, and Canadians' feelings towards several issues that are of importance to the election. The respondents were also asked questions so that they could be grouped according to geographic, demographic, and social variables. The topics of interest include: Canadian forces having nuclear weapons; car ownership; defence policy; Diefenbaker's performance as Prime Minister; federal elections; frequency of being home during weekdays; major problems facing Canada; Pearson's performance as leader of the opposition; preferred political parties; preferred Prime Minister; union membership; and voting behaviour. Basic demographic variables are also included.","Gallup Canada, 2019, ""Canadian Gallup Poll, March 1963, #301"", https://doi.org/10.5683/SP2/5KV8UU, Scholars Portal Dataverse, V1, UNF:6:Z53qKgAce+nDFtTRNCfICg== [fileUNF]",social sciences; public opinion poll; canada; canadian forces having nuclear weapons; car ownership; defence policy; diefenbakers performance as prime minister; federal election; frequency of being home on weekdays; major problems facing canada; pearsons performance as opposition leader; preferred political party; preferred prime minister; union membership; voting behaviour,https://odesi.ca/#/details?uri=/dataverse_sp/doi--10-5683_SP2_5KV8UU.xml
"Uniform Crime Reporting Program Data [United States]: Offenses Known and Clearances by Arrest, 2004 ",2004,United States Department of Justice. Federal Bureau of Investigation,"Since 1930, the Federal Bureau of Investigation has compiled the Uniform Crime Reports (UCR) to serve as periodic nationwide assessments of reported crimes not available elsewhere in the criminal justice system. Law enforcement agencies contribute reports either directly or through their state reporting programs. Each year, summary data are reported in four types of files: (1) Offenses Known and Clearances by Arrest, (2) Property Stolen and Recovered, (3) Supplementary Homicide Reports (SHR), and (4) Police Employee (LEOKA) Data. The Offenses Known and Clearances by Arrest data files include monthly data on the number of Crime Index offenses reported and the number of offenses cleared by arrest or other means. The counts include all reports of Index crimes (excluding arson) received from victims, officers who discovered infractions, or othersources.","U.S. Dept. of Justice, Federal Bureau of Investigation. UNIFORM CRIME REPORTING PROGRAM DATA [UNITED STATES]: OFFENSES KNOWN AND CLEARANCES BY ARREST, 2004. Compiled by the U.S. Dept. of Justice, Federal Bureau of Investigation. ICPSR04459-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [producer and distributor], 2006-08-18. http://doi.org/10.3886/ICPSR04459.v1",arrests; crime rates; crime reporting; crime statistics; law enforcement; offenses; uniform crime reports,https://odesi.ca/#/details?uri=/icpsr/04459.xml
"Health Statistics at a Glance, 1999 [Canada] [B2020]",1999,Statistics Canada,"<p>Health Statistics at a Glance tables contain information on socio-economic risk factors or determinants of health, health status, new information on health outcomes and expanded information on utilization of the health care system. The aim of Health Statistics at a Glance tables is to present a core data set using the most recent information available. The indicator tables show extended time series for Canada, provinces and territorial levels of geography. Depending on the indicator, cross-classifications are by age and sex, and, in some cases by education. Due to the large amount of sample survey data used to construct the indicators, many tables cannot be produced for sub-provincial areas.</p><p>Health Statistics at a Glance is an integrated information product. Its content reflects the growing demand for analysis of many current health issues supplemented by the underlying data. Within this CD-ROM there are three major components: the Statistical Report on the Health of Canadians, 17 Health Reports articles cited in the Statistical Report, and all of the components of Health Indicators, including Causes of Death. Users access the data as tabulations that they can display in various formats according to their own needs. The Health Statistics at a Glance CD-ROM contains the entire database of over 100 indicators and the software to access the information on a personal computer.</p><p>For current Health Statistics data refer to <a href=""https://www150.statcan.gc.ca/n1/en/subjects/Health"" target=""_blank"">Statistics Canada</a></p><p><a href=""http://odesi.scholarsportal.info/documentation/HLTHIND/1999/DOCS/hlthind99-tables.html"" target=""_blank"">Access data here</a></p>","Cooper, A. 2014. Health Statistics at a Glance, 1999 [Canada] [B2020]. Data Services. Queen's University, Kingston, Ontario, Canada: [producer and distributor].",abortions; age; alcohol; beds; births; blood pressure; body mass; breast feeding; care; caregiver; chronic; consumption; death; dental; depression; disabled; disease; drinkers; education; elderly; exercise; expenditures; eye exams; families; fertility; graduates; health; home care; hospitalization; injury; institutions; jobs; length of stay; life expectancy; literacy; medications; mortality; occupancy; patient; payment; physicians; population; psychological; sex; smokers; specialization; stress; suicides; surgical; treatment,https://odesi.ca/#/details?uri=/odesi/hlthind-82F0075-E-1999.xml
"Gender, Sports, and the Women's World Cup, 2015 [Canada]",2015,Angus Reid Institute,"<p>This wide-ranging survey canvassed Canadians’ attitudes on male and female athletes and sports, their interests in the Women’s World Cup, and the scandals plaguing FIFA, the tournaments organizer.</p><p><a href=""http://angusreid.org/"" target=""new"">Angus Reid Institute</a> is a national, not-for-profit, non-partisan public opinion research organization.</p>","Angus Reid Institute. Gender, Sports, and the Women's World Cup, 2015 [Canada]. Vancouver, British Columbia, Canada: Angus Reid Institute [producer]. Data Services, Queen's University [distributor].",althletes; fifa; gender; sports; world cup,https://odesi.ca/#/details?uri=/odesi/ari-wwc-E-2015.xml
"Annual Time Series Statistics for the United States, 1929-1968  ",1929,"Norwood, Douglas A.","This study is a 40-year time series of social, economic,and political indicators at the national level for the United Statesin the period 1929-1968. The variables include data on expendituresfrom the federal budget by various departments, agencies, andcommissions, the number of employees in the various United Statesdepartments, measures of the political characteristics of the UnitedStates Congress, such as the number of Repuplicans, Democrats, and""other"" party members in the United States Senate and in the House ofRepresentatives, business and consumer expenditures, and attributes ofthe population. Data are also provided on the number per 1,000 ofimmigrants to the United States, membership of all the religiousbodies in the United States, labor union membership, total householdsin the United States, total civilian labor force, and the number ofthe unemployed. Demographic variables provide information oneducation, births, and death rates.  The unit of analysis is theyear. Variables 2-281 cover the period from 1929-1968 and Variables282-408 cover only the period from 1947-1968.","Norwood, Douglas A. Annual Time Series Statistics for the United States, 1929-1968  . ICPSR00027-v1.  [distributor], 2020-01-22. http://doi.org/10.3886/ICPSR00027.v1",church membership; congressional elections; congressional voting; consumer expenditures; demographic statistics; economic indicators; federal budget; federal spending; government agencies; government employees; government expenditures; government revenues; income distribution; labor force; local government; national elections; party membership; political affiliation; political behavior; political parties; population characteristics; presidential elections; social history; social welfare; state government; twentieth century; unemployment; union membership; united states congress; voting behavior,https://odesi.ca/#/details?uri=/icpsr/00027.xml
"Canadian Election Study, 1972, November",1972,Cynthiya Ruban,"<p>Three studies are included in this set of National Canadian Election Surveys of 1972.  All three were conducted by telephone, two were administered prior to the National election and one following the October 31st election date.</p><p>The first study, conducted between June and July, 1972, focused on the respondents' opinions on the political parties, issues and personalities in federal politics.  The issues that were assessed included inflation, constitutional reform, campaign spending, marijuana legislation, and the right of federal employees to strike.  The respondents were also asked to assess the performance of the Prime Minister and also the qualifications of the main opposition candidates.  Finally, the respondents were asked about their partisan affiliation and their voting behavior over the past few elections.  The dataset included information on 1000 respondents (two cards of data per respondent).  The only demographic information in this study is the sex of the respondent.</p><p>The second study was conducted in September 1972 and assessed the respondents' opinions on political issues such as unemployment, Canadian/U.S. relations, environment, taxes, price controls, and certain federal programs.  In addition, the respondents were questioned about their candidate preference, partisan identification, and party preference for the upcoming election.  Basic demographic data were also included for the 1255 respondents (three cards of data per respondent.).</p><p>The third study in this series was administered in early November.  The respondents were asked to evaluate the federal election campaign, the candidates, parties and political issues. The respondents were also questioned about their voting behavior in both the federal and local elections.  Two forms of questionnaires were used, one for voters and the other for non-voters.  Demographic information was obtained for all respondents.  The dataset contains information on approximately 1298 respondents (four cards of data per respondent).</p]>","Ruban, C. 1972. The 1972 Canadian Election Study [dataset]. 2nd ICPSR version. Toronto, Ontario, Canada: Market Opinion Research (Canada) Ltd. [producer], 1972. Ann Arbor, MI: Interuniversity Consortium for Political and Social Research [distributor], 2001.",debate; leaders; candidates; votes; voting; media,https://odesi.ca/#/details?uri=/odesi/CES-E-1972-nov.xml
"Continuity and Change in American National Elections, 1952-1996:  [Instructional Materials]  ",1952,"Davison, Donald L.","These instructional materials were prepared for use withAMERICAN NATIONAL ELECTION STUDIES CUMULATIVE DATA FILE, 1948-2000(ICPSR 8475), compiled by Virginia Sapiro, Steven J. Rosenstone, and theNational Election Studies. The data file (a Stata data file) andaccompanying documentation are provided to assist educators ininstructing students in continuity and change over time in the majordeterminants of American national elections.  An instructors' handouthas also been included, containing the following sections, among others:(1) an overview of the instructional module and an introduction to theuse of Stata, (2) a discussion of, and exercises on, the influences ofparty identification on political behavior, including the sources ofpartisan identification, partisan change over time, and partisanship andvoting, (3) a discussion of, and exercises on, the socialcharacteristics of the American electorate, including major socialgroupings in the American electorate, who really votes, and the socialcomposition of the political parties, (4) a discussion of, and exerciseson, the influence of social and economic factors on political behavior,including who votes, the question of class bias in American politics,and the economic determinants of the vote, and (5) a bibliography ofrelated readings.  The dataset is a collection of certain commonvariables for selected federal elections between 1952 to 1996 taken fromthe National Election Study Cumulative file.  Variables in the datasetinclude race, gender, religion, education level, other demographicinformation, economic status indicators, media exposure, politicalideology, political behavior, attitudes toward salient public policies,and partisan identification.","Davison, Donald L. CONTINUITY AND CHANGE IN AMERICAN NATIONAL ELECTIONS, 1952-1996: [INSTRUCTIONAL MATERIALS]. ICPSR version. Winter Park, FL: Donald L. Davison, Rollins College, Dept. of Political Science [producer], 2003. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2004. http://doi.org/10.3886/ICPSR03727.v1",democratic party usa; elections; national elections; party identification; political affiliation; political attitudes; political awareness; political behavior; political influences; political participation; political parties; political partisanship; presidential elections; republican party usa; voter attitudes; voters; voting behavior,https://odesi.ca/#/details?uri=/icpsr/03727.xml
"Enquête sur la population active, septembre 2013 [Canada]",2013,Division de la statistique du travail,"L'Enquête sur la population active (EPA) fournit des estimations de l'emploi et du chômage, lesquelles figurent parmi les mesures les plus actuelles et les plus importantes de la performance de l'économie canadienne. Parmi les principales séries de données économiques mensuelles, les estimations axées sur l'EPA sont les premières à être rendues publiques, les résultats de l'enquête étant diffusés 13 jours seulement après la fin de la collecte des données.L'Enquête canadienne sur la population active a été conçue à la suite de la Deuxième Guerre mondiale pour répondre à un besoin en données fiables et à jour sur le marché du travail. Était alors requise, de façon urgente, de l'information concernant les changements radicaux qu'avait entraînés pour le marché du travail la transition d'une économie de guerre à une économie de paix. L'EPA a pour objectif de répartir la population en âge de travailler en trois catégories qui s'excluent mutuellement, à savoir celles des personnes occupées, des chômeurs et des inactifs, ainsi que de fournir des données descriptives et explicatives sur chacune de ces catégories. Les données de l'EPA sont utilisées pour produire le très connu taux de chômage ainsi que d'autre indicateurs de base du marché de travail tel que le taux d'emploi et le taux d'activité. En plus, l'EPA procure également des estimations de l'emploi selon la branche d'activité, la profession, le nombre d'heures travaillées et davantage. Il est possible de croiser ces séries selon une variété de caractéristiques démographiques. Des estimations sont diffusées pour le Canada, les provinces, les territoires et pour plusieurs régions infraprovincial. Pour les employés, des séries sur les salaires, la couverture syndicale, la permanence de l'emploi et la taille du lieu de travail sont également disponibles. Pour une liste complète et une description des variables de l'EPA, veuillez consulter le Guide de l'Enquête sur la population active, disponible sous la section Questionnaire(s) et guide(s) de déclaration ci-dessus.Ces données sont utilisées par les différents paliers de gouvernements pour évaluer et planifier les programmes d'emploi au Canada. Les taux de chômage régionaux sont utilisés par Développement des ressources humaines Canada pour déterminer l'admissibilité au régime d'Assurance-emploi, de même que le niveau et la durée des prestations pour les personnes qui vivent à l'intérieur d'une région d'assurance-emploi donnée. Ainsi, les données sont utilisées par les économistes du marché du travail, les analystes, les consultants, les planificateurs, les prévisionnistes ainsi que les universitaires et ce, autant du secteur public que privé.","Statistique Canada. Enquête sur la population active, septembre 2013 [Canada] [fichier de microdonnées à grande diffusion]. Ottawa, Ontario : Statistique Canada. Division de la statistique du travail, Initiative de démocratisation des données [producteur et distributeur].",chômage; emploi; enquête sur la population active; heures de travail; industries; population active; professions; revenu; travail; variables démographiques,https://odesi.ca/#/details?uri=/odesi/EPA-71M0001-F-2013-septembre.xml
"Deaths in Custody Reporting Program: Non-standardized Jail Data, 2005",2005,United States Department of Justice. Office of Justice Programs. Bureau of Justice Statistics,"The Deaths in Custody Reporting Program (DCRP) is an annual data collection conducted by the Bureau of Justice Statistics (BJS). The DCRP began in 2000 under the Death in Custody Reporting Act of 2000 (P.L. 106-297). It is the only national statistical collection that obtains detailed information about deaths in adult correctional facilities. The DCRP collects data on persons dying in state prisons, local jails and in the process of arrest. Each collection is a separate subcollection, but each is under the umbrella of the DCRP collection. The DCRP collects inmate death records from each of the nation's 50 state prison systems and approximately 2,800 local jail jurisdictions. In addition, this program collects records of all deaths occurring during the process of arrest. Data are collected directly from state and local law enforcement agencies.Death records include information on decedent personal characteristics (age, race or Hispanic origin, and sex), decedent criminal background (legal status, offense type, and time served), and the death itself (date, time, location, and cause of death, as well as information on the autopsy and medical treatment provided for any illness or disease).This data collection represents a single year of DCRP Jails data. The variable names and coding, while similar to other years, have not been standardized across years. The concatenated multi-year versions of the DCRP Jails population data have been edited to correct outliers and other data anomalies. Researchers are encouraged to use the concatenated multi-year data for final jail population data.","United States Department of Justice. Office of Justice Programs. Bureau of Justice Statistics. Deaths in Custody Reporting Program: Non-standardized Jail Data, 2005. ICPSR36297-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2016-08-31. http://doi.org/10.3886/ICPSR36297.v1",correctional facilities; corrections; death; jails,https://odesi.ca/#/details?uri=/icpsr/36297.xml
"Communities in Charge Survey, 2001-2003 [Alameda County, California, Austin, Texas, and Southern Maine]",2001,"McLaughlin, Catherine","This three-wave survey was conducted as part of an evaluation of the Communities in Charge (CIC) initiative, a competitive grants program funded by the Robert Wood Johnson Foundation (RWJF). CIC provided funding and technical assistance to help communities design and implement new or expand existing approaches for supplying health care to the uninsured. Three of the 14 CIC sites funded by RWJF in 2001 were selected for the survey: Alameda County, California, Austin, Texas, and southern Maine. With CIC grant support, all three created programs that provided fairly comprehensive health benefits to low-income, uninsured participants, who were interviewed by the survey within three months of enrollment (Wave 1) and again at about six months and 12 months after enrollment (Waves 2 and 3). Conducted in English in southern Maine, English and Spanish in Austin, and English, Spanish, and Cantonese in Alameda County, the survey collected information on demographic and socioeconomic characteristics, health status, health insurance coverage, access to health services, and health services utilization. Additional topics covered by the survey include out-of-pocket spending on health care, unmet health care needs, and satisfaction with and opinions about health care. There are two data files for each wave, one with the data from the Cantonese interviews and one with the data from the Englishand Spanish interviews.","McLaughlin, Catherine. Communities in Charge Survey, 2001-2003 [Alameda County, California, Austin, Texas, and Southern Maine]. ICPSR04638-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2007-03-01. http://doi.org/10.3886/ICPSR04638.v1",health insurance; health care; health care access; health care costs; health care delivery; health care services; health services utilization; health status; low income groups; program evaluation; poverty,https://odesi.ca/#/details?uri=/icpsr/04638.xml
"Census of Population and Housing, 2000 [United States]:  Summary File 1, States",2000,United States. Bureau of the Census,"Summary File 1 contains 100-percent United States decennialCensus data, which is the information compiled from the questionsasked of all people and about every housing unit. Population itemsinclude sex, age, race, Hispanic or Latino origin, householdrelationship, and group quarters occupancy. Housing items includeoccupancy status, vacancy status, and tenure (owner occupied or renteroccupied). There are a total of 171 population tables (""P"") and 56housing tables (""H"") provided down to the block level, and 59population tables provided down to the census tract level (""PCT"") fora total of 286 tables. In addition, 14 population tables and 4 housingtables at the block level and 4 population tables at the census tractlevel are repeated by major race and Hispanic or Latino groups. Thedata present population and housing characteristics for the totalpopulation, population totals for an extensive list of race (AmericanIndian and Alaska Native tribes, Asian, Native Hawaiian, and OtherPacific Islander) and Hispanic or Latino groups, and population andhousing characteristics for a limited list of race and Hispanic orLatino groups. Population and housing items may be crosstabulated.Selected aggregates and medians also are provided. Summary File 1 isreleased in the form of individual files for each of the 50 states,the District of Columbia, and Puerto Rico.","United States. Bureau of the Census. Census of Population and Housing, 2000 [United States]:  Summary File 1, States. ICPSR03194-v2. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2004. http://doi.org/10.3886/ICPSR03194",census data; demographic characteristics; ethnicity; group homes; hispanic origins; household composition; housing; housing occupancy; population; race; states usa,https://odesi.ca/#/details?uri=/icpsr/03194.xml
"Aging and Caregiving: A Data-Driven Learning Guide",2008,Inter-university Consortium for Political and Social Research,"Data-Driven Learning Guides are a collection ofinstructional exercises that can be used to enhance teaching of coreconcepts in the social sciences. This learning guide investigates thecharacteristics and well-being of middle-aged caregivers. Researchquestions that can be explored using this learning guide include whogives and who receives care, which age groups are more likely to carefor their parents, whether men and women are equally likely to becaregivers, and how caregiving may affect the well-being ofcaregivers.",,adult children; age groups; aging; caregiver burden; caregivers; instructional materials; older adults; social sciences,https://odesi.ca/#/details?uri=/icpsr/00206.xml
"Enquête de surveillance de l'usage du tabac au Canada, 2002 : Cycle 1",2002,Statistique Canada,"L'Enquête de surveillance de l'usage du tabac au Canada (ESUTC) est menée au nom de Santé Canada depuis 1999 et fournit des données sur l'usage du tabac et d'autres sujets connexes. L'objectif principal de l'enquête est de suivre de près les changements liés au statut de fumeur, notamment pour la population la plus à risque, soit les 15 à 24 ans. L'enquête permet à Santé Canada d'estimer, sur une base semestrielle, la prévalence de l'usage du tabac chez des groupes de gens selon leur province, leur sexe et leur âge.Les données du cycle 1 (février à juin) de chaque année sont diffusées séparément. Les données du cycle 2 (juillet à décembre) sont incluses dans le sommaire annuel.",,,https://odesi.ca/#/details?uri=/dlimf/ca-statcan-5888-f.xml
"Robert Wood Johnson Foundation Family Health Insurance Survey, 1993",1993,"Marquis, M. Susan","This survey investigated health insurance coverage, as wellas access to and use of health services, in each of ten states. Withthe goal of remedying the previous lack of state-level data, thesurvey was conducted to aid in defining problems of insurance coverageand to analyze the impacts of states' policy options. The main unit ofobservation is the health insurance family, which includes the head,spouse, and their children up to age 18, or to age 23 if they were inschool. Variables on health insurance coverage include the types ofcoverage respondents carried (Medicare, Medicaid, additional state orfederal programs, and private policies), sources of private policycoverage, premiums paid for private policies, and number of monthsuninsured during the last year. Access to health care is measured byvariables such as the type of usual health care provider, the amountof time it usually took to get to the doctor's office, and whetherneeded medical care was not received during the previous year.Variables on the utilization of health care include the number ofovernight hospital stays, the number of visits to doctors, age atfirst DPT (diphtheria, whooping cough, and tetanus) shot, age at firstoral polio immunization, and the number of months since the mostrecent breast exam and Pap smear. The survey also elicitedself-reported health status and opinions on the health care system,gauged satisfaction/dissatisfaction with health services received, andgathered information on employment, income, education, migration, age,sex, marital status, race, Hispanic origin, and citizenship.","Long, Stephen H., and M. Susan Marquis. Robert Wood Johnson Foundation Family Health Insurance Survey, 1993. ICPSR06894-v3. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2005-06-22. http://doi.org/10.3886/ICPSR06894.v3",doctor visits; employment; families; health; health attitudes; health care; health care costs; health care delivery; health care expenses; health care facilities; health care services; health services utilization; hispanic or latino origins; household composition; households; income; insurance coverage; insurance policies; physician patient relationship; private health insurance,https://odesi.ca/#/details?uri=/icpsr/06894.xml
"Multiple Cause of Death, 1974-1978",1974,United States Department of Health and Human Services. National Center for Health Statistics,"This data collection presents information about the causes of all recorded deaths occurring in the United States, Puerto Rico, the Virgin Islands, Guam, and American Samoa during 1974 through 1978. Data are provided concerning underlying causes of death, multiple conditions that caused the death, place of death, residence of the deceased (e.g., region, division, state, county), whether an autopsy was performed, and the month and day of the week of the death. In addition, data are supplied on the sex, race, age, marital status, education, usual occupation, and origin or descent of the deceased. The multiple cause of death fields were coded from the MANUAL OF THE INTERNATIONAL STATISTICAL CLASSIFICATION OF DISEASES, INJURIES, ANDCAUSE-OF-DEATH, EIGHTH REVISION (ICD-8), VOLUMES 1 AND 2.","United States Department of Health and Human Services. National Center for Health Statistics. Multiple Cause of Death, 1974-1978. ICPSR03906-v2. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2007-05-16. http://doi.org/10.3886/ICPSR03906.v2",age; causes of death; death; death records; ethnicity; fatalities; gender; marital status; mortality rates; race,https://odesi.ca/#/details?uri=/icpsr/03906.xml
"Juvenile Residential Facility Census, 2012 [United States]",2012,United States Department of Justice. Office of Justice Programs. Office of Juvenile Justice and Delinquency Prevention,"The 2012 JRFC (n=2,547; 281 variables) collects information on various aspects of residential facilities.Section 1 of the survey form collects general facility information, including:location (state),facility population disaggregated by age and offense status (total, under 21, 21 or older, assigned a bed because of an offense, assigned a bed for other reasons),physical layout (e.g. presence of separate buildings or separate living/sleeping units),facility type (e.g. detention center, group home/halfway house, runaway and homeless shelter),treatment provided (e.g. mental health treatment, substance abuse treatment),owner and operator sector (private non-profit, for-profit, government) and, for government-owned or -operated facilities, level (tribal, federal, state, county, municipal),security features (e.g. locked internal or external doors or gates),sleeping arrangements (occupants per sleeping room, number of standard and makeshift beds), andparticipation in voluntary or required exercise.Section 2 of the survey form relates to events in the 30 days prior to the census reference date, including:unauthorized departures,transportation to an emergency room,use of a mechanical restraint (e.g. handcuffs) by facility staff,young persons placed in isolation, andinability to secure physical health care, mental health care, educational instruction, or substance abuse services.Section 3 of the survey form gathers information about any deaths in the past year, including:cause of death,location of death (inside or outside the facility),demographic information (age, sex, race),date of admission, anddate of death.Section 4 of the survey form describes space shared with other facilities, including:presence of other juvenile residential facilities on the same campus andshared facility characteristics (e.g. personnel, space, services).","United States Department of Justice. Office of Justice Programs. Office of Juvenile Justice and Delinquency Prevention. Juvenile Residential Facility Census, 2012 [United States]. ICPSR36476-v1. Ann Arbor, MI: Inter-university Consortium for Political and Social Research [distributor], 2016-08-05. http://doi.org/10.3886/ICPSR36476.v1",census data; correctional education; correctional facilities; educational needs; group homes; health care services; juvenile detention; juvenile offenders; juveniles; mental health services; substance abuse treatment,https://odesi.ca/#/details?uri=/icpsr/36476.xml
